,V1,V2,V3,V4,V5,Class
0,-2.933743,-2.982485,-0.338821,-0.24697199999999997,-0.13658299999999998,1.0
1,-2.811423,-0.6814640000000001,-1.0295860000000001,-0.660295,-0.295576,1.0
2,-2.17234,-2.749164,-1.204212,-0.687715,-0.35567600000000005,1.0
3,-2.169755,0.36795900000000004,-1.8231959999999998,-1.0101870000000002,-0.13658299999999998,1.0
4,-2.110076,-2.4245520000000003,-1.144534,-0.690593,-0.33098299999999997,1.0
5,-2.097106,0.351649,-1.1794229999999999,-0.671953,-0.285628,1.0
6,-2.078774,0.07891799999999999,-1.182173,-0.7218479999999999,-0.396723,1.0
7,-1.986639,-0.34796,-1.29234,-0.694217,-0.268839,1.0
8,-1.9202720000000002,-0.20114500000000002,-1.132943,-0.6699689999999999,-0.012389,1.0
9,-1.919518,-2.727179,-1.41051,0.005194,1.317677,1.0
10,-1.8870509999999998,-0.439946,-1.1390069999999999,-0.072611,-0.921493,1.0
11,-1.886623,-0.440159,-1.138943,-0.072184,-0.9213319999999999,1.0
12,-1.867002,-0.742066,-0.312636,-0.730238,-0.45735299999999995,1.0
13,-1.7823189999999998,-0.911734,-0.646438,-0.315162,-0.27875300000000003,1.0
14,-1.731297,-2.312695,-1.249343,-0.679553,-0.290878,1.0
15,-1.7050779999999999,0.6019260000000001,-1.250918,-0.745131,-0.352867,1.0
16,-1.689673,-2.514591,-1.8702459999999999,-1.590399,-0.980192,2.0
17,-1.640643,-3.038709,-1.419812,-1.313301,-0.13658299999999998,2.0
18,-1.598739,-0.093585,-1.580981,-0.870116,-0.393835,1.0
19,-1.563204,-2.3619830000000004,-1.7461849999999999,-1.232939,2.128311,2.0
20,-1.541168,0.813592,0.068348,-0.851928,-0.439878,1.0
21,-1.449351,-2.349322,0.30433000000000004,-1.1655520000000001,-0.691721,2.0
22,-1.4492479999999999,-2.348895,0.30409200000000003,-1.165151,-0.691604,2.0
23,-1.401966,-2.415534,-1.142984,-0.628364,-0.25701199999999996,1.0
24,-1.376619,0.655366,0.262177,-0.94963,-0.6204569999999999,1.0
25,-1.3301129999999999,-0.686928,0.46730299999999997,-1.63039,-1.418807,2.0
26,-1.3276709999999998,-2.182553,0.789898,0.511858,-0.772807,2.0
27,-1.326546,-2.169356,0.628817,-1.3006719999999998,-0.9535959999999999,1.0
28,-1.325132,-0.7329319999999999,0.1258,1.083748,1.625428,2.0
29,-1.3212059999999999,0.187007,1.110333,-1.248949,0.8379530000000001,1.0
30,-1.319029,-2.329375,-1.3262690000000001,-0.705469,-0.311262,1.0
31,-1.313993,-0.41388400000000003,1.293102,-1.3276430000000001,-0.7817310000000001,1.0
32,-1.310934,-2.8333180000000002,-1.476058,-0.848209,-0.398917,1.0
33,-1.288638,-2.029894,-2.1447990000000003,-1.9788689999999998,1.138463,1.0
34,-1.266229,-0.523784,-2.084492,1.5859999999999999,-0.13658299999999998,2.0
35,-1.263068,-0.7289100000000001,-0.036701,1.686398,-0.13658299999999998,2.0
36,-1.256178,-2.4481439999999997,-2.599841,-2.3763549999999998,-0.13658299999999998,1.0
37,-1.254864,-0.751534,0.114031,0.964267,-1.8957959999999998,2.0
38,-1.246343,-0.145802,0.379506,-1.149822,-0.612095,1.0
39,-1.2418639999999999,-0.8636010000000001,0.39469899999999997,1.928084,-1.833689,2.0
40,-1.232858,-2.002776,-1.3142719999999999,0.6786270000000001,1.700755,1.0
41,-1.232432,-2.405153,-1.384631,-0.8607030000000001,-0.400567,1.0
42,-1.2317420000000001,2.2933630000000003,-1.564976,-0.891388,-0.429458,1.0
43,-1.231629,-0.656395,0.101126,1.1209209999999998,1.746723,2.0
44,-1.227578,0.5213909999999999,0.065683,0.404558,-0.13658299999999998,1.0
45,-1.227432,-2.311798,-2.185418,-1.926003,-1.1440549999999998,2.0
46,-1.227217,-0.626251,0.10895,1.317612,-0.13658299999999998,2.0
47,-1.225048,-0.668131,0.647824,-1.476983,-1.060375,1.0
48,-1.215247,1.056502,-1.32619,-0.826368,-0.13658299999999998,1.0
49,-1.212601,-2.143121,-1.688322,-1.66992,-0.84291,2.0
50,-1.2106940000000002,2.065306,-1.496952,-0.915507,-0.433042,1.0
51,-1.210201,2.164418,-1.517923,-0.893144,-0.42335100000000003,1.0
52,-1.206925,-0.547061,-1.3872520000000002,1.4861799999999998,-1.470645,2.0
53,-1.1995209999999998,-2.083197,-0.180279,0.836664,-0.13658299999999998,1.0
54,-1.193155,-0.376761,0.982533,-1.4804110000000001,1.531816,2.0
55,-1.188603,1.255784,0.244848,0.242865,-0.13658299999999998,1.0
56,-1.188258,-0.20339000000000002,0.062917,-1.005995,0.212825,1.0
57,-1.1853790000000002,-2.138976,0.808938,1.789696,-1.216943,1.0
58,-1.185296,0.545244,-1.914398,-1.305768,-0.684475,1.0
59,-1.183394,0.8377979999999999,-0.045067,0.09882200000000001,-0.13658299999999998,1.0
60,-1.181339,-0.47605200000000003,0.9792049999999999,-1.479042,-0.9657709999999999,2.0
61,-1.1810969999999998,-0.384235,0.673607,-1.387764,1.5806870000000002,2.0
62,-1.180234,-2.5303560000000003,1.219644,-1.7404830000000002,-0.13658299999999998,1.0
63,-1.180169,0.892142,0.135193,0.132527,-0.13658299999999998,1.0
64,-1.17841,1.345037,0.191935,0.11611199999999999,-0.13658299999999998,1.0
65,-1.177864,0.083383,1.731589,-1.330846,-0.740442,1.0
66,-1.17574,-2.493172,-1.82825,-1.224791,-0.652419,1.0
67,-1.172776,0.39545399999999997,1.451774,0.398922,-0.714175,1.0
68,-1.172666,-0.10792,1.3936709999999999,-1.436112,-0.783854,1.0
69,-1.168874,-2.250384,-1.6926869999999998,-1.304129,-0.692537,1.0
70,-1.167931,-0.909653,-1.550904,-1.73394,-0.13658299999999998,2.0
71,-1.164415,-0.716902,0.784852,-1.545976,-0.8501270000000001,1.0
72,-1.163478,0.8597229999999999,0.008092,0.113175,-0.49782200000000004,1.0
73,-1.1630479999999999,-1.8569,-1.478672,0.817455,-0.13658299999999998,1.0
74,-1.161192,0.741788,1.321553,-1.3163049999999998,-0.559488,1.0
75,-1.15665,0.43511000000000005,0.740613,0.313525,0.5362979999999999,1.0
76,-1.1465100000000001,-2.395539,-2.025827,-1.119516,-0.13658299999999998,1.0
77,-1.1463379999999999,-2.5569189999999997,1.5364149999999999,-1.5748790000000001,-1.032355,1.0
78,-1.1463379999999999,-0.940974,-0.111265,1.7729110000000001,-2.367461,2.0
79,-1.145786,0.6467649999999999,0.5362,0.24046900000000002,0.499126,1.0
80,-1.144949,-1.0772059999999999,-0.007687,1.8985310000000002,-2.125983,2.0
81,-1.144901,0.27147899999999997,1.2600360000000002,0.377287,-0.13658299999999998,1.0
82,-1.1431799999999999,-1.856598,-1.617432,1.0605719999999998,-1.324325,1.0
83,-1.137807,0.114227,1.647099,-1.4352790000000002,-0.13658299999999998,1.0
84,-1.137285,1.0942319999999999,0.258892,-1.140521,-0.13658299999999998,1.0
85,-1.134392,0.451795,0.6265149999999999,0.27724099999999996,0.5102359999999999,1.0
86,-1.133148,-1.75777,-1.227866,0.758236,2.7756119999999997,2.0
87,-1.130587,-0.089895,1.426153,-1.744432,-0.13658299999999998,1.0
88,-1.128101,0.20834499999999997,1.7775029999999998,-1.3205069999999999,-0.13658299999999998,1.0
89,-1.125865,-0.018349,1.324287,-1.450728,-0.13658299999999998,1.0
